SOFT - DRINKS,,,,COFFEE & TEA,,,,,
AMARETTO SOUR,,,"8,95 €",,Curacao - lime - pineapple - coconut,,,,,
Disaronno - lemon juice - liquid sugar,,,,,REAL LEMONADE,,,"6,00 €",,
EXPRESSO MARTANI,,,"8,95 €",,,,,,,
Vodka - coffee - coffee liquor - liquid sugar,,,,,,,,,,
PRONSTAR MARTINI,,,"8,95 €",,,,,,,
Vanilla vodka - passoa - limon juice - vanilla syrup,,,,,,,,,,
- passion fruit,,,,,,,,,,
MOJITO,,,"8,95 €",,,,,,,
white rum - brwon sugar - lime - mint -,,,,,,,,,,
"(strawberry, coconut, mango, passion fruit.)",,,,,,,,,,
PIÑA COLADA,,,"8,95 €",,,,,,,
White rum - pineapple juice - lemon juice -,,,,,,,,,,
coconut,,,,,,,,,,
DAIQUIRI FROZEN,,,"8,95 €",,,,,,,
White rum - triple sec - lime juice - sugar syrup,,,,,,,,,,
(strawberry - coconut - mango - passion fruit),,,,,,,,,,
